,Price,Original_Price,Off(%),Rating,Reviews,Free_shipping,Best_seller,Fold
1736,0.78,0.86,9.0,4.9737,2462.0,No,No,Flat
1737,0.18,0.2,10.0,4.9701,2100.0,No,No,Flat
1738,0.18,0.2,10.0,4.9701,2100.0,No,No,Flat
1739,7.16,7.16,0.0,4.9,5528.0,No,No,Flat
1740,4.0,4.0,0.0,4.9886,92.0,Yes,No,Flat
1741,5.59,7.99,30.0,4.8833,1722.0,No,No,Flat
1742,2.99,2.99,0.0,4.9565,467.0,No,No,Flat
1743,11.0,11.0,0.0,4.9609,1620.0,No,Yes,Flat
1744,5.59,7.99,30.0,4.8833,1722.0,No,No,Flat
1745,10.2,10.2,0.0,5.0,113.0,Yes,No,Flat
1746,6.0,6.0,0.0,5.0,273.0,No,No,Flat
1747,22.34,22.34,0.0,5.0,96.0,No,No,Flat
1748,15.99,19.99,20.0,5.0,74.0,No,No,Flat
1749,7.49,9.99,25.0,4.9218,2828.0,No,No,Flat
1750,142.0,142.0,0.0,5.0,10.0,Yes,No,Flat
1751,12.0,12.0,0.0,4.9184,1810.0,Yes,No,Flat
1752,142.0,142.0,0.0,5.0,10.0,Yes,No,Flat
1753,15.96,19.95,20.0,4.9579,196.0,No,No,Flat
1754,100.0,100.0,0.0,5.0,269.0,Yes,No,Flat
1755,1.6,1.6,0.0,4.7879,33.0,Yes,No,Flat
1756,12.0,12.0,0.0,4.8889,223.0,Yes,No,Flat
1757,3.99,3.99,0.0,4.9565,467.0,No,No,Flat
1758,13.56,13.56,0.0,4.9697,165.0,No,No,Flat
1759,9.99,9.99,0.0,4.9565,905.0,No,No,Flat
1760,5.0,5.0,0.0,4.9823,5814.0,No,No,Flat
1761,15.0,15.0,0.0,5.0,116.0,No,No,Flat
1762,2.15,2.15,0.0,4.9877,370.0,No,No,Flat
1763,6.0,6.0,0.0,4.9405,1807.0,No,No,Flat
1764,34.0,34.0,0.0,5.0,411.0,Yes,No,Flat
1765,5.4,9.0,40.0,4.9582,7211.0,No,No,Flat
1766,2.1,3.0,30.0,4.9574,13988.0,Yes,No,Flat
1767,142.0,142.0,0.0,5.0,10.0,Yes,No,Flat
